#Number of Samples: 1
#Total Number of Reads: 228951
#S1	sample_Nanopore_CDC_null_Viral_ref.bracken.kraken2.report.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	lvl_type	taxid	name
0.0070	16	16	16	16	S	216142	                Pseudomonas rhizosphaerae
0.0052	12	12	12	12	S	219572	                Pseudomonas antarctica
0.0044	10	10	10	10	S	1274359	                Pseudomonas sihuiensis
0.0035	8	8	8	8	S	2842349	                Pseudomonas asgharzadehiana
0.0035	8	8	8	8	S	2812000	                Pseudomonas hygromyciniae
0.0031	7	7	7	7	S	3040598	                Pseudomonas paraveronii
0.0031	7	7	7	7	S	1245526	                Pseudomonas guangdongensis
0.0026	6	6	6	6	S	2493633	                Pseudomonas hydrolytica
0.0026	6	6	6	6	S	2731681	                Pseudomonas campi
0.0022	5	0	5	0	S	101564	                Pseudomonas alcaliphila
0.0022	5	5	5	5	S1	741155	                  Pseudomonas alcaliphila JAB1
0.0022	5	5	5	5	S	2745490	                Pseudomonas xantholysinigenes
0.0017	4	4	4	4	S	2961893	                Pseudomonas triclosanedens
0.0013	3	3	3	3	S	312306	                Pseudomonas entomophila
0.0013	3	3	3	3	S	2745504	                Pseudomonas hamedanensis
0.0009	2	2	2	2	S	2684212	                Pseudomonas izuensis
0.0009	2	2	2	2	S	515393	                Pseudomonas yamanorum
0.0009	2	2	2	2	S	2842350	                Pseudomonas azerbaijanorientalis
0.0009	2	2	2	2	S	2867264	                Pseudomonas phytophila
0.0009	2	2	2	2	S	1302376	                Candidatus Pseudomonas adelgestsugas
0.0009	2	2	2	2	S	2726956	                Pseudomonas berkeleyensis
0.0004	1	1	1	1	S	1163398	                Pseudomonas donghuensis
0.0004	1	1	1	1	S	237609	                Pseudomonas alkylphenolica
0.0004	1	0	1	0	G1	62104	                environmental samples
0.0004	1	1	1	1	S	114707	                  uncultured Pseudomonas sp.
0.0004	1	1	1	1	S	237610	                Pseudomonas psychrotolerans
0.0004	1	1	1	1	S	95300	                Pseudomonas vancouverensis
0.0004	1	1	1	1	S	47884	                Pseudomonas taetrolens
0.0004	1	1	1	1	S	1853130	                Pseudomonas silesiensis
0.0004	1	1	1	1	S	1880678	                Pseudomonas sivasensis
0.0004	1	1	1	1	S	2954082	                Pseudomonas cucumis
0.0004	1	1	1	1	S	2364649	                Pseudomonas laurentiana
0.0004	1	1	1	1	S	2746321	                Pseudomonas phenolilytica
0.0004	1	1	1	1	S	2842356	                Pseudomonas xanthosomatis
0.0908	208	0	208	0	G	2901164	              Stutzerimonas
0.0498	114	114	114	114	S	3022791	                Stutzerimonas decontaminans
0.0323	74	74	74	74	S	271420	                Stutzerimonas xanthomarina
0.0087	20	0	20	0	G1	136846	                Stutzerimonas stutzeri group
0.0087	20	0	20	0	G2	578833	                  Stutzerimonas stutzeri subgroup
0.0087	20	7	20	7	S	316	                    Stutzerimonas stutzeri
0.0057	13	13	13	13	S1	644801	                      Stutzerimonas stutzeri RCH2
0.0314	72	1	72	1	G	2901189	              Halopseudomonas
0.0275	63	63	63	63	S	797277	                Halopseudomonas litoralis
0.0017	4	4	4	4	S	487184	                Halopseudomonas xinjiangensis
0.0013	3	3	3	3	S	553151	                Halopseudomonas pelagia
0.0004	1	1	1	1	S	1708783	                Halopseudomonas oceani
0.0009	2	0	2	0	G	1654787	              Thiopseudomonas
0.0009	2	2	2	2	S	1697053	                Thiopseudomonas alkaliphila
0.0004	1	0	1	0	F1	351	              Azotobacter group
0.0004	1	1	1	1	G	352	                Azotobacter
0.0004	1	0	1	0	F	2887365	            Marinobacteraceae
0.0004	1	0	1	0	G	2742	              Marinobacter
0.0004	1	0	1	0	G1	83889	                unclassified Marinobacter
0.0004	1	1	1	1	S	2547598	                  Marinobacter sp. JH2
4.0721	9323	2	9323	2	O	135614	          Lysobacterales
3.3025	7561	0	7561	0	F	32033	            Lysobacteraceae
2.1542	4932	151	4932	151	G	40323	              Stenotrophomonas
2.0306	4649	7	4649	7	G1	196198	                unclassified Stenotrophomonas
1.8528	4242	4242	4242	4242	S	1904944	                  Stenotrophomonas sp. LM091
0.1088	249	249	249	249	S	3027225	                  Stenotrophomonas sp. BIO128-Bstrain
0.0459	105	105	105	105	S	2775920	                  Stenotrophomonas sp. CW117
0.0105	24	24	24	24	S	3051123	                  Stenotrophomonas sp. 17(2023)
0.0048	11	11	11	11	S	3068324	                  Stenotrophomonas sp. 24(2023)
0.0039	9	9	9	9	S	3055080	                  Stenotrophomonas sp. 610A2
0.0009	2	2	2	2	S	2691571	                  Stenotrophomonas sp. 364
0.0515	118	118	118	118	S	128780	                Stenotrophomonas acidaminiphila
0.0048	11	1	11	1	G1	995085	                Stenotrophomonas maltophilia group
0.0031	7	4	7	4	G2	2961925	                  unclassified Stenotrophomonas maltophilia group
0.0009	2	2	2	2	S	2072413	                    Stenotrophomonas sp. SAU14A_NAIMI4_5
0.0004	1	1	1	1	S	2072405	                    Stenotrophomonas sp. ZAC14D2_NAIMI4_7
0.0013	3	3	3	3	S	40324	                  Stenotrophomonas maltophilia
0.0013	3	3	3	3	S	216778	                Stenotrophomonas rhizophila
0.4669	1069	1	1069	1	G	68	              Lysobacter
0.2756	631	631	631	631	S	2822368	                Lysobacter luteus
0.0865	198	198	198	198	S	69	                Lysobacter enzymogenes
0.0563	129	129	129	129	S	262324	                Lysobacter gummosus
0.0236	54	54	54	54	S	2795387	                Lysobacter arenosi
0.0149	34	34	34	34	S	2698682	                Lysobacter oculi
0.0066	15	15	15	15	S	435897	                Lysobacter capsici
0.0022	5	0	5	0	G1	2635362	                unclassified Lysobacter
0.0022	5	5	5	5	S	2290922	                  Lysobacter sp. TY2-98
0.0009	2	2	2	2	S	84531	                Lysobacter antibioticus
0.3809	872	1	872	1	G	83618	              Pseudoxanthomonas
0.2944	674	0	674	0	S	415229	                Pseudoxanthomonas spadix
0.2944	674	674	674	674	S1	1045855	                  Pseudoxanthomonas spadix BD-a59
0.0860	197	3	197	3	S	314722	                Pseudoxanthomonas suwonensis
0.0847	194	194	194	194	S1	743721	                  Pseudoxanthomonas suwonensis 11-1
0.1354	310	2	310	2	G	338	              Xanthomonas
0.0537	123	123	123	123	S	3046274	                Xanthomonas rydalmerensis
0.0284	65	65	65	65	S	56464	                Xanthomonas theicola
0.0218	50	0	50	0	G1	643453	                Xanthomonas citri group
0.0218	50	0	50	0	S	346	                  Xanthomonas citri
0.0201	46	46	46	46	S1	454594	                    Xanthomonas citri pv. mangiferaeindicae
0.0017	4	4	4	4	S1	76802	                    Xanthomonas citri pv. aurantifolii
0.0096	22	0	22	0	S	56454	                Xanthomonas hortorum
0.0096	22	22	22	22	S1	453602	                  Xanthomonas hortorum pv. pelargonii
0.0079	18	0	18	0	S	1985254	                Xanthomonas phaseoli
0.0079	18	18	18	18	S1	317013	                  Xanthomonas phaseoli pv. phaseoli
0.0074	17	16	17	16	S	339	                Xanthomonas campestris
