level	taxid	name	read_count	total_bp_mapped	rel_abundance
family	39	Archangiaceae	36	12070	0.000041
family	2805400	Actinopolymorphaceae	35	11446	0.000072
family	1903410	Pectobacteriaceae	34	9146	0.000260
family	31	Myxococcaceae	33	8392	0.000049
family	1046	Chromatiaceae	30	13962	0.000147
family	2843305	Phreatobacteraceae	30	7139	0.000084
family	31993	Methylocystaceae	29	21055	0.000141
family	81852	Enterococcaceae	29	2762	0.000128
family	267893	Idiomarinaceae	28	15685	0.000165
family	2813035	Parvibaculaceae	28	11224	0.000097
family	2008790	Thiobacillaceae	26	7477	0.000128
family	1737406	Tissierellaceae	25	17897	0.000192
family	1471398	Prolixibacteraceae	25	13816	0.000076
family	2800061	Maricaulaceae	22	7862	0.000097
family	206379	Nitrosomonadaceae	21	14004	0.000140
family	414877	Catenulisporaceae	20	6602	0.000025
family	539000	Clostridiales Family XVII. Incertae Sedis	17	4221	0.000070
family	Blyttiomyces - no_f_rank	Blyttiomyces - no_f_rank	15	2025	0.000001
family	2845253	Treponemataceae	13	9759	0.000092
family	2690195	Elioraeaceae	10	2273	0.000028
family	85018	Dermatophilaceae	10	3179	0.000026
family	2005525	Tannerellaceae	10	1279	0.000012
family	909930	Acidaminococcaceae	9	4653	0.000239
family	Pengzhenrongella - no_f_rank	Pengzhenrongella - no_f_rank	9	2282	0.000029
family	186806	Eubacteriaceae	8	4910	0.000033
family	563835	Chitinophagaceae	6	4059	0.000023
family	Syntrophobotulaceae	Syntrophobotulaceae	5	1162	0.000043
family	2691359	Lacipirellulaceae	5	2257	0.000010
family	1890449	Microcystaceae	4	958	0.000059
family	267890	Shewanellaceae	4	2305	0.000023
family	2829814	Ahrensiaceae	4	1310	0.000016
family	186807	Peptococcaceae	4	2000	0.000014
family	1676141	Wenzhouxiangellaceae	4	1085	0.000010
family	Terrihabitans - no_f_rank	Terrihabitans - no_f_rank	3	1013	0.000011
family	2035710	Thioalkalibacteraceae	2	1431	0.000021
family	2932623	Sulfurospirillaceae	2	495	0.000010
family	84997	Rubrobacteraceae	2	788	0.000009
family	45401	Hyphomicrobiaceae	2	1038	0.000009
family	3141702	Leadbetterellaceae	2	1394	0.000009
family	2600303	Baekduiaceae	2	580	0.000007
family	Magnetospirillaceae	Magnetospirillaceae	2	222	0.000002
family	5148	Sordariaceae	1	176	0.000011
family	1706371	Cellvibrionaceae	1	876	0.000005
family	Pseudopelobacteraceae	Pseudopelobacteraceae	1	729	0.000005
family	213468	Syntrophaceae	1	604	0.000005
family	Ruminococcaceae	Ruminococcaceae	1	309	0.000003
family	WTL	WTL	1	390	0.000003
family	1706373	Microbulbiferaceae	1	360	0.000003
family	2603322	Vallitaleaceae	1	326	0.000002
family	DSM-5807	DSM-5807	1	439	0.000002
family	134623	Opitutaceae	1	465	0.000002
family	145358	Bogoriellaceae	1	174	0.000002
family	2689614	Steroidobacteraceae	1	166	0.000001
genus	12916	Acidovorax	7069	1146662	0.014568
genus	482	Neisseria	6149	2001307	0.029046
genus	469	Acinetobacter	5929	2123536	0.031699
genus	286	Pseudomonas	5231	1107282	0.021628
genus	40323	Stenotrophomonas	4673	1042153	0.027277
genus	1679449	Pseudooceanicola	4631	2226875	0.022235
genus	13687	Sphingomonas	4237	1488223	0.017675
genus	283	Comamonas	4203	1321076	0.014619
genus	2767887	Ligilactobacillus	4035	917884	0.046949
genus	1470540	Jeotgalibaca	3772	2096672	0.025914
genus	1572860	Hartmannibacter	3621	1937748	0.012739
genus	1763	Mycobacterium	3297	730357	0.008834
genus	2891323	Pseudazoarcus	2684	818657	0.011376
genus	2576755	Caproicibacter	2643	1614206	0.010960
genus	1839	Nocardioides	2625	509551	0.008948
genus	551	Erwinia	2558	1580419	0.014633
genus	254250	Isoptericola	2528	452981	0.008669
genus	265	Paracoccus	2474	766863	0.009669
genus	32012	Thiomonas	2293	649581	0.007410
genus	256319	Chlorobaculum	2267	609026	0.014320
genus	911	Nitrobacter	2190	598996	0.006984
genus	59732	Chryseobacterium	2116	547457	0.007856
genus	237	Flavobacterium	2040	527009	0.007307
genus	830	Butyrivibrio	1914	1087858	0.012908
genus	43947	Tolumonas	1885	1203399	0.010003
genus	186650	Microvirga	1781	695184	0.002530
genus	2847769	Aequoribacter	1760	1226141	0.009750
genus	2078948	Epidermidibacterium	1746	588443	0.005415
genus	323620	Shinella	1530	261328	0.006063
genus	572511	Blautia	1516	787625	0.007082
genus	1934947	Immundisolibacter	1482	437851	0.005849
genus	219181	Ottowia	1461	437642	0.005250
genus	613	Serratia	1327	265539	0.010706
