Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Rhodococcus triatomae	1	300028	300028	244	0.106195	0.106198	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus
Roseomonas mucosa	1	207340	207340	243	0.105760	0.105763	cellular organisms;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas
Citrobacter europaeus	1	1914243	1914243	242	0.105325	0.105327	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
Frateuria edaphi	1	2898793	2898793	240	0.104455	0.104457	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Frateuria
Alcaligenes sp.	1	3416924	3416924	238	0.103584	0.103586	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes
Streptomyces seoulensis	1	73044	73044	236	0.102714	0.102716	cellular organisms;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces
Agromyces aureus	1	453304	453304	233	0.101408	0.101410	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agromyces
Desulfoglaeba alkanexedens	1	361111	361111	231	0.100538	0.100540	cellular organisms;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba
Mycolicibacterium litorale	1	758802	758802	231	0.100538	0.100540	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mixta calida	1	665913	665913	230	0.100102	0.100104	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Mixta
Brachymonas sp.	1	3569521	3569521	228	0.099232	0.099234	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Allobrachymonas
Runella rosea	1	2259595	2259595	227	0.098797	0.098799	cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Runella
Paracoccus contaminans	1	1945662	1945662	226	0.098361	0.098364	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Deefgea tanakiae	1	2865840	2865840	225	0.097926	0.097928	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Deefgea
Pararhodospirillum photometricum	1	1084	1084	225	0.097926	0.097928	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum
Ligilactobacillus salivarius	1	1624	1624	224	0.097491	0.097493	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
Kineococcus radiotolerans	1	131568	131568	221	0.096185	0.096187	cellular organisms;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Kineococcus
Sediminicoccus sp.	1	3133721	3133721	221	0.096185	0.096187	cellular organisms;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Sediminicoccus
Anaeromyxobacter dehalogenans	1	161493	161493	219	0.095315	0.095317	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter
Azospirillum thermophilum	1	2202148	2202148	219	0.095315	0.095317	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum
Leucobacter muris	1	1935379	1935379	213	0.092703	0.092705	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter
Aquisediminimonas profunda	1	1550733	1550733	208	0.090527	0.090529	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Aquisediminimonadaceae;Aquisediminimonas
Chania multitudinisentens	1	1639108	1639108	205	0.089222	0.089223	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Chania
Paracoccus suum	1	2259340	2259340	205	0.089222	0.089223	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Aeromonas media	1	651	651	203	0.088351	0.088353	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
Lysobacter enzymogenes	1	69	69	203	0.088351	0.088353	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Lysobacter
Halomonas sp.	10	2883106	2883106;223901;2992143;3383718;3397245;261936;3423910;3465833;3035470;2587844	199	0.086610	0.086612	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
Collimonas arenae	1	279058	279058	197	0.085740	0.085742	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas
Mycolicibacterium rufum	1	318424	318424	195	0.084869	0.084871	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Achromobacter xylosoxidans	1	85698	85698	194	0.084434	0.084436	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
Chitinimonas koreensis	1	356302	356302	194	0.084434	0.084436	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Chitinimonas
Flavobacterium cyclinae	1	2895947	2895947	194	0.084434	0.084436	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Ralstonia mannitolilytica	1	105219	105219	193	0.083999	0.084001	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
Truepera radiovictrix	1	332249	332249	193	0.083999	0.084001	cellular organisms;Deinococcota;Deinococci;Trueperales;Trueperaceae;Truepera
Hydrogenophaga sp.	6	795665	795665;3688071;1945864;2806347;2651974;1842537	192	0.083564	0.083565	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
Pseudoselenomonas lactilytica	1	114197	114197	188	0.081823	0.081824	cellular organisms;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Pseudoselenomonas
Sinomonas atrocyanea	1	37927	37927	188	0.081823	0.081824	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Sinomonas
Bifidobacterium pseudocatenulatum	1	28026	28026	186	0.080952	0.080954	cellular organisms;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
Rhodovastum atsumiense	1	504468	504468	185	0.080517	0.080519	cellular organisms;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum
Sphingomonas panacis	1	1560345	1560345	183	0.079647	0.079648	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Sulfuritalea hydrogenivorans	1	748811	748811	181	0.078776	0.078778	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfuritalea
Inhella inkyongensis	1	392593	392593	180	0.078341	0.078343	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Inhella
Trabulsiella odontotermitis	1	379893	379893	179	0.077906	0.077907	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Trabulsiella
Fusobacterium pseudoperiodonticum	1	2663009	2663009	178	0.077470	0.077472	cellular organisms;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
Mycolicibacterium doricum	1	126673	126673	178	0.077470	0.077472	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Shinella oryzae	1	2871820	2871820	178	0.077470	0.077472	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella
Pseudoxanthomonas suwonensis	1	314722	314722	176	0.076600	0.076602	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas
Blautia wexlerae	1	418240	418240	175	0.076165	0.076166	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia
Pseudomonas salmasensis	1	2745514	2745514	175	0.076165	0.076166	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Acinetobacter gyllenbergii	1	134534	134534	171	0.074424	0.074426	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Comamonas serinivorans	1	1082851	1082851	169	0.073553	0.073555	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Ectopseudomonas guguanensis	1	1198456	1198456	169	0.073553	0.073555	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Ectopseudomonas
Pigmentiphaga aceris	1	1940612	1940612	167	0.072683	0.072684	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pigmentiphaga
Shinella sumterensis	1	1967501	1967501	162	0.070507	0.070508	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella
Casimicrobium huifangae	1	2591109	2591109	160	0.069636	0.069638	cellular organisms;Pseudomonadota;Betaproteobacteria;;Casimicrobiaceae;Casimicrobium
Clostridium kluyveri	1	1534	1534	159	0.069201	0.069203	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Sphingopyxis sp.	10	3468961	3468961;1908224;2976533;2933562;2565556;2482763;292913;3412479;1357916;2830667	157	0.068331	0.068332	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis
Streptomyces sp.	70	1795815	1795815;1333528;2903774;1984801;2975728;2801029;2903790;1827526;1592323;3448663;3465273;3447507;133497;3075432;2903659;2975800;3074379;1964449;3384771;3448171;3372856;3043734;3240070;2059884;3448662;3129112;3424717;3447509;3469805;3467596;1488356;2833628;2791991;2975620;2903619;2975650;2975656;2975669;2975703;2975710;2975714;2975730;2975735;2903665;2975784;2975793;2903667;2975808;2903757;2903758;2903787;2903806;2903822;2903831;2903863;2903879;2903881;2975870;2903897;2975888;2975947;376149;2969820;3238627;3238631;1849967;2109592;2136401;2730915;3569852	157	0.068331	0.068332	cellular organisms;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces
Aeromonas rivipollensis	1	948519	948519	154	0.067025	0.067027	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
