TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
93944	Nonomuraea gerenzanensis	18256	0.576843	0.577966	cellular organisms;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea
2816950	Ottowia testudinis	18217	0.575611	0.576731	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia
1306787	Isoalcanivorax pacificus	17095	0.540158	0.54121	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Isoalcanivorax
2598579	Limnoglobus roseus	16746	0.529131	0.530161	cellular organisms;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Limnoglobus
182640	Kribbella flavida	15737	0.497249	0.498217	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella
449461	Nocardioides humi	15630	0.493868	0.494829	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
683042	Leucobacter denitrificans	15347	0.484926	0.48587	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter
1288636	Ornithinimicrobium flavum	14771	0.466726	0.467634	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
2184083	Pseudothauera hydrothermalis	14763	0.466473	0.467381	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera
2479546	Vibrio zhugei	14364	0.453866	0.454749	cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio
279058	Collimonas arenae	14165	0.447578	0.448449	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas
1940612	Pigmentiphaga aceris	13981	0.441764	0.442624	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pigmentiphaga
2822368	Novilysobacter luteus	13974	0.441543	0.442402	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Novilysobacter
2763672	Simiaoa sunii	13647	0.43121	0.43205	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Simiaoa
2861782	Paraburkholderia edwinii	13047	0.412252	0.413054	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia
2109913	Melaminivora suipulveris	12883	0.40707	0.407862	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Melaminivora
2592654	Protaetiibacter larvae	12487	0.394557	0.395325	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Protaetiibacter
3133721	Sediminicoccus sp. KRV36	12085	0.381855	0.382598	cellular organisms;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Sediminicoccus
1084	Pararhodospirillum photometricum	11826	0.373671	0.374399	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum
2865840	Deefgea tanakiae	11309	0.357335	0.358031	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Deefgea
2320868	Clostridium manihotivorum	11288	0.356672	0.357366	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
361111	Desulfoglaeba alkanexedens	11106	0.350921	0.351604	cellular organisms;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba
2929800	Chryseobacterium suipulveris	10643	0.336292	0.336946	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
506591	Leisingera caerulea	10510	0.332089	0.332736	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Leisingera
2842357	Pseudomonas muyukensis	10472	0.330888	0.331533	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
1751056	Flavobacterium ammonificans	10442	0.329941	0.330583	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
1537215	Pseudooceanicola algae	10387	0.328203	0.328842	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Pseudooceanicola
