Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Botrimarina mediterranea	1	2528022	2528022	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Botrimarina
Botrytis cinerea	1	40559	40559	2	0.000063	0.000063	cellular organisms;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis
Bradyrhizobium arachidis	1	858423	858423	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Breoghania sp.	1	2065378	2065378	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Breoghania
Brevibacillus ruminantium	1	2950604	2950604	2	0.000063	0.000063	cellular organisms;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus
Buchananella felis	1	3231492	3231492	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Buchananella
Burkholderia metallica	1	488729	488729	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Burkholderia stabilis	1	95485	95485	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Caballeronia grimmiae	1	1071679	1071679	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia
Candidatus Korobacter	1	658062	658062	2	0.000063	0.000063	cellular organisms;Acidobacteriota;Terriglobia;Terriglobales;Candidatus Korobacteraceae;Candidatus Korobacter
Candidatus Palauibacter	1	3101350	3101350	2	0.000063	0.000063	cellular organisms;Gemmatimonadota;Gemmatimonadia;Candidatus Palauibacterales;Candidatus Palauibacteraceae;Candidatus Palauibacter
Candidatus Poriferisodalis	1	3101277	3101277	2	0.000063	0.000063	cellular organisms;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Candidatus Poriferisodalaceae;Candidatus Poriferisodalis
Carbonactinospora thermoautotrophica	1	1469144	1469144	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Kitasatosporales;Carbonactinosporaceae;Carbonactinospora
Caulobacter inopinatus	1	3161137	3161137	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
Cellulomonas wangleii	1	2816956	2816956	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Cellulomonadaceae;Cellulomonas
Cereibacter azotoformans	1	43057	43057	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Cereibacter
Cetobacterium somerae	1	188913	188913	2	0.000063	0.000063	cellular organisms;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium
Chitiniphilus eburneus	1	2571148	2571148	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Chitiniphilus
Chryseobacterium gallinarum	1	1324352	1324352	2	0.000063	0.000063	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Chryseobacterium glaciei	1	1685010	1685010	2	0.000063	0.000063	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Chryseobacterium lactis	1	1241981	1241981	2	0.000063	0.000063	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Clostridium beijerinckii	1	1520	1520	2	0.000063	0.000063	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Clostridium sp.	1	1095009	1095009	2	0.000063	0.000063	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Comamonas sp.	1	3415008	3415008	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Cordyceps javanica	1	43265	43265	2	0.000063	0.000063	cellular organisms;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps
Corynebacterium amycolatum	1	43765	43765	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Corynebacterium aquatimens	1	1190508	1190508	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Corynebacterium camporealensis	1	161896	161896	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Cupriavidus metallidurans	1	119219	119219	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus
Cutibacterium equinum	1	3016342	3016342	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium
Cutibacterium sp.	1	3446480	3446480	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium
Dermabacter jinjuensis	1	1667168	1667168	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter
Desulfogranum aggregans	1	1825660	1825660	2	0.000063	0.000063	cellular organisms;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfogranum
Desulfovibrio sp.	1	631220	631220	2	0.000063	0.000063	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Dokdonella sp.	1	2992926	2992926	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Dokdonella
Dyella telluris	1	2763498	2763498	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Dyella
Ectopseudomonas hydrolytica	1	2493633	2493633	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Ectopseudomonas
Empedobacter falsenii	1	343874	343874	2	0.000063	0.000063	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Empedobacter
Enterobacter cloacae	1	550	550	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
Erwinia rhapontici	1	55212	55212	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
Flavobacterium microcysteis	1	2596891	2596891	2	0.000063	0.000063	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Fulvia fulva	1	5499	5499	2	0.000063	0.000063	cellular organisms;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Fulvia
Fusarium oxysporum	1	5507	5507	2	0.000063	0.000063	cellular organisms;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium
Gardnerella swidsinskii	1	2792979	2792979	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella
Gemmata sp.	1	1630693	1630693	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Gemmata
Georhizobium sp.	1	3028319	3028319	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Georhizobium
Glycomyces mayteni	1	543887	543887	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Glycomyces
Gordonia terrae	1	2055	2055	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia
Hahella chejuensis	1	158327	158327	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella
Halocatena halophila	1	2814576	2814576	2	0.000063	0.000063	cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Natronomonadaceae;Halocatena
Haloferax gibbonsii	1	35746	35746	2	0.000063	0.000063	cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloferacaceae;Haloferax
Halomonas piscis	1	3031727	3031727	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
Halorarum salinum	1	2743089	2743089	2	0.000063	0.000063	cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloferacaceae;Halorarum
Halorubellus litoreus	1	755308	755308	2	0.000063	0.000063	cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Halorubellaceae;Halorubellus
Herbaspirillum huttiense	1	863372	863372	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum
Herbaspirillum rubrisubalbicans	1	80842	80842	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum
Horticoccus sp.	1	3391832	3391832	2	0.000063	0.000063	cellular organisms;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Horticoccus
Humisphaera borealis	1	2807512	2807512	2	0.000063	0.000063	cellular organisms;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;Humisphaera
Hyphomicrobium sp.	1	3075651	3075651	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium
Isosphaeraceae bacterium	1	3139350	3139350	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;
Kitasatospora setae	1	2066	2066	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Kitasatospora
Klebsiella pneumoniae	1	573	573	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
Kolteria novifilia	1	2527975	2527975	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Kolteriales;Kolteriaceae;Kolteria
Ktedonosporobacter rubrisoli	1	2509675	2509675	2	0.000063	0.000063	cellular organisms;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonosporobacteraceae;Ktedonosporobacter
Lacrimispora saccharolytica	1	84030	84030	2	0.000063	0.000063	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora
Lactobacillus paragasseri	1	2107999	2107999	2	0.000063	0.000063	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Lawsonibacter asaccharolyticus	1	2108523	2108523	2	0.000063	0.000063	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Lawsonibacter
Lederbergia lenta	1	1467	1467	2	0.000063	0.000063	cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Lederbergia
Leifsonia poae	1	110933	110933	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leifsonia
Leifsonia sp.	1	2781978	2781978	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leifsonia
Leisingera thetidis	1	2930199	2930199	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Leisingera
Leucobacter triazinivorans	1	1784719	1784719	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter
Luteimonas sp.	1	3465245	3465245	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Luteimonas
Malaciobacter pacificus	1	1080223	1080223	2	0.000063	0.000063	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Malaciobacter
Marinobacterium rhizophilum	1	420402	420402	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium
Marinovum algicola	1	42444	42444	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Marinovum
Methanocella sp.	1	3412035	3412035	2	0.000063	0.000063	cellular organisms;Methanobacteriota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella
Methylobacterium flocculans	1	2984843	2984843	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
Methylobacterium fujisawaense	1	107400	107400	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
Methylorubrum extorquens	1	408	408	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum
Methylorubrum populi	1	223967	223967	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum
Methylotenera versatilis	1	1055487	1055487	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera
Microbacterium foliorum	1	104336	104336	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Microbacterium lacus	1	415217	415217	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Microbacterium lushaniae	1	2614639	2614639	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Microbacterium luteum	1	2782167	2782167	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Microbacterium schleiferi	1	69362	69362	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Microbulbifer agarilyticus	1	260552	260552	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbifer
Microbulbifer bruguierae	1	3029061	3029061	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbifer
Micrococcus terreus	1	574650	574650	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus
Micromonospora maris	1	1003110	1003110	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora
Micromonospora matsumotoense	1	121616	121616	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora
Micromonospora zamorensis	1	709883	709883	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora
Morganella morganii	1	582	582	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella
Mycetohabitans endofungorum	1	417203	417203	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Mycetohabitans
Mycobacterium cookii	1	1775	1775	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
Mycobacterium dioxanotrophicus	1	482462	482462	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
Mycobacteroides abscessus	1	36809	36809	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacteroides
Mycolicibacterium arabiense	1	1286181	1286181	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium baixiangningiae	1	2761578	2761578	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium chitae	1	1792	1792	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium duvalii	1	39688	39688	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium gadium	1	1794	1794	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium holsaticum	1	152142	152142	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium insubricum	1	444597	444597	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium septicum	1	98668	98668	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Mycolicibacterium wolinskyi	1	59750	59750	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Myxococcus sp.	1	2831967	2831967	2	0.000063	0.000063	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus
Myxococcus virescens	1	83456	83456	2	0.000063	0.000063	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus
Nevskia ramosa	1	64002	64002	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Nevskiales;Nevskiaceae;Nevskia
Nitratidesulfovibrio vulgaris	1	881	881	2	0.000063	0.000063	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Nitratidesulfovibrio
Nitrosococcus watsonii	1	473531	473531	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus
Nocardia asteroides	1	1824	1824	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia
Nocardia farcinica	1	37329	37329	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia
Nocardia huaxiensis	1	2755382	2755382	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia
Nocardia vinacea	1	96468	96468	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia
Nocardioides terrisoli	1	3388267	3388267	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
Novosphingobium resinovorum	1	158500	158500	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
Ornithinimicrobium ciconiae	1	2594265	2594265	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
Owariibacterium komagatae	1	3136601	3136601	2	0.000063	0.000063	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Owariibacterium
Paenibacillus lycopersici	1	2704462	2704462	2	0.000063	0.000063	cellular organisms;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Pandoraea commovens	1	2508289	2508289	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea
Paraburkholderia sabiae	1	273251	273251	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia
Paraburkholderia sprentiae	1	948107	948107	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia
Paracidovorax citrulli	1	80869	80869	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax
Paracoccus aminovorans	1	34004	34004	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Paracoccus liaowanqingii	1	2560053	2560053	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Paracoccus zhejiangensis	1	1077935	1077935	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Paradevosia shaoguanensis	1	1335043	1335043	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Paradevosia
Parasedimentitalea marina	1	2483033	2483033	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Parasedimentitalea
Parazoarcus communis	1	41977	41977	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Parazoarcus
Pendulispora rubella	1	2741070	2741070	2	0.000063	0.000063	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Pendulisporaceae;Pendulispora
Peterkaempfera bronchialis	1	2126346	2126346	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Peterkaempfera
Phaeobacter piscinae	1	1580596	1580596	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Phaeobacter
Photobacterium leiognathi	1	553611	553611	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium
Pimelobacter simplex	1	2045	2045	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Pimelobacter
Planctomycetaceae bacterium	1	3454463	3454463	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;
Polystyrenella longa	1	2528007	2528007	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Polystyrenella
Promicromonospora sp.	1	3402691	3402691	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae;Promicromonospora
Propionibacterium australiense	1	119981	119981	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium
Pseudoblastomonas marina	1	1867408	1867408	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Pseudoblastomonas
Pseudoduganella chitinolytica	1	34070	34070	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella
Pseudoduganella flava	1	871742	871742	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella
Pseudomonas batumici	1	226910	226910	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas fulva	1	47880	47880	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas marginalis	1	298	298	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas spelaei	1	1055469	1055469	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas tolaasii	1	29442	29442	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas veronii	1	76761	76761	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas xanthosomatis	1	2842356	2842356	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudoxanthomonas daejeonensis	1	266062	266062	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas
Pseudoxanthomonas suwonensis	1	314722	314722	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas
Qipengyuania spongiae	1	2909673	2909673	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania
Rahnella variigena	1	574964	574964	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella
Ralstonia pseudosolanacearum	1	1310165	1310165	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
Ralstonia solanacearum	1	305	305	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
Rhodococcus coprophilus	1	38310	38310	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus
Rhodothermus marinus	1	29549	29549	2	0.000063	0.000063	cellular organisms;Rhodothermota;Rhodothermia;Rhodothermales;Rhodothermaceae;Rhodothermus
Roseibium sp.	1	1936156	1936156	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium
Roseiconus lacunae	1	2605694	2605694	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseiconus
Roseiflexus castenholzii	1	120962	120962	2	0.000063	0.000063	cellular organisms;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus
Roseiflexus sp.	1	357808	357808	2	0.000063	0.000063	cellular organisms;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus
Roseomonas mucosa	1	207340	207340	2	0.000063	0.000063	cellular organisms;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas
Rubripirellula lacrimiformis	1	1930273	1930273	2	0.000063	0.000063	cellular organisms;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rubripirellula
Saccharomonospora azurea	1	40988	40988	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora
Saccharopolyspora gregorii	1	33914	33914	2	0.000063	0.000063	cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora
