Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Melaminivora suipulveris	1	2109913	2109913	12883	0.407070	0.407862	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Melaminivora
Protaetiibacter larvae	1	2592654	2592654	12487	0.394557	0.395325	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Protaetiibacter
Sediminicoccus sp.	1	3133721	3133721	12085	0.381855	0.382598	cellular organisms;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Sediminicoccus
Pararhodospirillum photometricum	1	1084	1084	11826	0.373671	0.374399	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum
Deefgea tanakiae	1	2865840	2865840	11309	0.357335	0.358031	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Deefgea
Clostridium manihotivorum	1	2320868	2320868	11288	0.356672	0.357366	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Desulfoglaeba alkanexedens	1	361111	361111	11106	0.350921	0.351604	cellular organisms;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba
Chryseobacterium suipulveris	1	2929800	2929800	10643	0.336292	0.336946	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Leisingera caerulea	1	506591	506591	10510	0.332089	0.332736	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Leisingera
Pseudomonas muyukensis	1	2842357	2842357	10472	0.330888	0.331533	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Flavobacterium ammonificans	1	1751056	1751056	10442	0.329941	0.330583	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Pseudooceanicola algae	1	1537215	1537215	10387	0.328203	0.328842	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Pseudooceanicola
Nocardioides daphniae	1	402297	402297	10260	0.324190	0.324821	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
Aquisediminimonas profunda	1	1550733	1550733	10063	0.317965	0.318584	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Aquisediminimonadaceae;Aquisediminimonas
Geobacter sulfurreducens	1	35554	35554	9917	0.313352	0.313962	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter
Cellulomonas gilvus	1	11	11	9781	0.309055	0.309656	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Cellulomonadaceae;Cellulomonas
Clostridium kluyveri	1	1534	1534	9621	0.303999	0.304591	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Casimicrobium huifangae	1	2591109	2591109	9556	0.301945	0.302533	cellular organisms;Pseudomonadota;Betaproteobacteria;;Casimicrobiaceae;Casimicrobium
Rhizobium daejeonense	1	240521	240521	9292	0.293603	0.294175	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium
Paraconexibacter antarcticus	1	2949664	2949664	9266	0.292782	0.293352	cellular organisms;Actinomycetota;Thermoleophilia;Solirubrobacterales;Paraconexibacteraceae;Paraconexibacter
Mycolicibacterium litorale	1	758802	758802	8909	0.281502	0.282050	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Truepera radiovictrix	1	332249	332249	8546	0.270032	0.270557	cellular organisms;Deinococcota;Deinococci;Trueperales;Trueperaceae;Truepera
Gemmatimonas aurantiaca	1	173480	173480	8445	0.266840	0.267360	cellular organisms;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas
Ferrigenium kumadai	1	1682490	1682490	8442	0.266746	0.267265	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Ferrigenium
Sulfuritalea hydrogenivorans	1	748811	748811	8349	0.263807	0.264321	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfuritalea
Frateuria edaphi	1	2898793	2898793	8049	0.254328	0.254823	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Frateuria
Flavobacterium commune	1	1306519	1306519	7937	0.250789	0.251277	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Comamonas serinivorans	1	1082851	1082851	7643	0.241499	0.241969	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Syntrophobacter fumaroxidans	1	119484	119484	7557	0.238782	0.239247	cellular organisms;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter
Nocardia mangyaensis	1	2213200	2213200	7437	0.234990	0.235448	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia
Paracoccus suum	1	2259340	2259340	7393	0.233600	0.234055	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
