superkingdom	taxid	name	read_count	rel_abundance
Bacteria	1866	Actinoplanes missouriensis	3846	0.000423
Bacteria	2867233	Qipengyuania aurantiaca	3833	0.001169
Bacteria	1297742	Myxococcus hansupus	3689	0.000362
Bacteria	2756	Brochothrix thermosphacta	3619	0.000897
Bacteria	Actinosynnema_espanaense	Actinosynnema espanaense	3612	0.00035
Bacteria	2809020	Paralysiella testudinis	3586	0.000802
Bacteria	44742	Desulfovibrio fairfieldensis	3578	0.000585
Bacteria	117157	Actinopolymorpha singaporensis	3557	0.000392
Bacteria	190148	Bradyrhizobium paxllaeri	3541	0.000593
Bacteria	119542	Roseinatronobacter bogoriensis	3535	0.000552
Bacteria	2202148	Azospirillum thermophilum	3455	0.000492
Bacteria	502394	Deinococcus gobiensis	3435	0.000567
Bacteria	55209	Pantoea cypripedii	3393	0.000479
Bacteria	304895	Catenulispora acidiphila	3367	0.000229
Bacteria	1355330	Flavobacterium faecale	3315	0.000443
Bacteria	659012	Agromyces soli	3281	0.000981
Bacteria	1288495	Diaphorobacter aerolatus	3148	0.000524
Bacteria	2842355	Pseudomonas fakonensis	3042	0.000776
Bacteria	2745495	Pseudomonas vanderleydeniana	3010	0.000511
Bacteria	1622	Ligilactobacillus murinus	2936	0.001996
Bacteria	Kaistella_faecale	Kaistella faecale	2818	0.000654
Bacteria	2782568	Qipengyuania soli	2752	0.000686
Bacteria	7	Azorhizobium caulinodans	2671	0.000373
Bacteria	47735	Bibersteinia trehalosi	2645	0.000773
Bacteria	453816	Pseudobdellovibrio exovorus	2572	0.000538
Bacteria	483547	Geoalkalibacter subterraneus	2549	0.0004
Bacteria	2661630	Venatoribacter cucullus	2522	0.00055
Bacteria	1549858	Sphingomonas taxi	2519	0.000784
Bacteria	2780922	Solibaculum mannosilyticum	2454	0.000593
Bacteria	1136941	Gordonia phthalatica	2452	0.000441
Bacteria	34029	Leptothrix cholodnii	2408	0.000482
Bacteria	1532023	Qipengyuania sediminis	2377	0.000718
Bacteria	42906	Serratia entomophila	2372	0.001994
Bacteria	Pelobium_saltans	Pelobium saltans	2255	0.000281
Bacteria	2339259	Yersinia hibernica	2227	0.000939
Bacteria	Butyrivibrio_crossotus	Butyrivibrio crossotus	2162	0.000537
Bacteria	2795387	Lysobacter arenosi	2069	0.000572
Bacteria	2872652	Sphingomonas nostoxanthinifaciens	2011	0.00037
Bacteria	1176536	Novosphingobium ginsenosidimutans	2009	0.000451
Bacteria	2715678	Sulfurimicrobium lacus	2008	0.000342
Bacteria	1072463	Microbacterium lemovicicum	2007	0.000555
Bacteria	2582419	Dialister hominis	1962	0.000808
Bacteria	1176533	Luteimonas granuli	1911	0.000705
Bacteria	1967501	Shinella sumterensis	1895	0.001071
Bacteria	1615674	Pseudomonas lactis	1879	0.002191
Bacteria	2847045	Geoalkalibacter halelectricus	1732	0.000252
Bacteria	2897181	Flavobacterium channae	1721	0.000524
Bacteria	2497456	Chryseobacterium aureum	1696	0.000317
Bacteria	2650157	Bacteroides zhangwenhongii	1677	0.000258
Bacteria	2759526	Sphingomonas aliaeris	1665	0.000299
Bacteria	1868589	Phreatobacter cathodiphilus	1642	0.000319
Bacteria	1134435	Thauera humireducens	1633	0.000639
Bacteria	627624	Nocardioides panacisoli	1580	0.000418
Bacteria	33069	Pseudomonas viridiflava	1550	0.000313
Bacteria	1562974	Comamonas piscis	1528	0.000309
Bacteria	1265445	Chryseobacterium camelliae	1481	0.00021
Bacteria	1582259	Gudongella oleilytica	1463	0.000354
Bacteria	Sphingomicrobium_glaciei	Sphingomicrobium glaciei	1462	0.000379
Bacteria	1297617	Intestinimonas butyriciproducens	1446	0.000291
Bacteria	758793	Caballeronia insecticola	1441	0.000195
Bacteria	2891570	Pseudocitrobacter corydidari	1424	0.000288
Bacteria	1225769	Paludibacterium paludis	1424	0.000225
Bacteria	2730425	Pseudomonas neuropathica	1421	0.001656
Bacteria	2518644	Pseudomonas tructae	1391	0.000383
Bacteria	2815309	Geobacter benzoatilyticus	1360	0.000238
Bacteria	Thermochromatium_japonicum	Thermochromatium japonicum	1341	0.000265
Bacteria	2593653	Kaustia mangrovi	1324	0.000205
Bacteria	2807096	Neotabrizicola shimadae	1320	0.000231
Bacteria	1565605	Rugosibacter aromaticivorans	1309	0.000271
Bacteria	640205	Pseudomonas seleniipraecipitans	1298	0.000245
Bacteria	Mycobacterium_boenickei	Mycobacterium boenickei	1285	0.000263
Bacteria	1785161	Pseudomonas wadenswilerensis	1248	0.000536
Bacteria	1560345	Sphingomonas panacis	1245	0.0002
Bacteria	576610	Polynucleobacter necessarius	1195	0.000782
Bacteria	1537400	Aquitalea aquatilis	1121	0.000214
