Sample_Taxid	clade_fragments_covered	abundance	rank	name
Illumina_CDC_587	6.0	0.0	S	Providencia rettgeri
Illumina_CDC_588	3.0	0.0	S	Providencia stuartii
Illumina_CDC_152142	2.0	0.0	S	Mycolicibacterium holsaticum
Illumina_CDC_1038927	4.0	0.0	S1	Escherichia coli O104:H4
Illumina_CDC_524884	2.0	0.0	S	Saccharopolyspora rosea
Illumina_CDC_1563222	11.0	0.0	S	Citrobacter pasteurii
Illumina_CDC_146017	2539.0	0.05	S	Mycolicibacterium boenickei
Illumina_CDC_614	5.0	0.0	S	Serratia liquefaciens
Illumina_CDC_615	16.0	0.0	S	Serratia marcescens
Illumina_CDC_618	1.0	0.0	S	Serratia odorifera
Illumina_CDC_881260	24.0	0.0	S	Enterobacter bugandensis
Illumina_CDC_82541	112.0	0.0	S	Cupriavidus gilardii
Illumina_CDC_622	36.0	0.0	S	Shigella dysenteriae
Illumina_CDC_623	49.0	0.0	S	Shigella flexneri
Illumina_CDC_624	14.0	0.0	S	Shigella sonnei
Illumina_CDC_621	15.0	0.0	S	Shigella boydii
Illumina_CDC_84595	9.0	0.0	S	Gordonia polyisoprenivorans
Illumina_CDC_630	10.0	0.0	S	Yersinia enterocolitica
Illumina_CDC_631	2.0	0.0	S	Yersinia intermedia
Illumina_CDC_632	12.0	0.0	S	Yersinia pestis
Illumina_CDC_633	1.0	0.0	S	Yersinia pseudotuberculosis
Illumina_CDC_57975	11.0	0.0	S	Burkholderia thailandensis
Illumina_CDC_47735	2133.0	0.04	S	Bibersteinia trehalosi
Illumina_CDC_636	3.0	0.0	S	Edwardsiella tarda
Illumina_CDC_29311	2.0	0.0	S	Mycobacterium haemophilum
Illumina_CDC_644	10.0	0.0	S	Aeromonas hydrophila
Illumina_CDC_645	17.0	0.0	S	Aeromonas salmonicida
Illumina_CDC_648	14.0	0.0	S	Aeromonas caviae
Illumina_CDC_650	2.0	0.0	S	Aeromonas jandaei
Illumina_CDC_652	3.0	0.0	S	Aeromonas schubertii
Illumina_CDC_654	12.0	0.0	S	Aeromonas veronii
Illumina_CDC_244366	53.0	0.0	S	Klebsiella variicola
Illumina_CDC_663	2.0	0.0	S	Vibrio alginolyticus
Illumina_CDC_666	6.0	0.0	S	Vibrio cholerae
Illumina_CDC_669	8.0	0.0	S	Vibrio harveyi
Illumina_CDC_670	4.0	0.0	S	Vibrio parahaemolyticus
Illumina_CDC_672	3.0	0.0	S	Vibrio vulnificus
Illumina_CDC_675	2.0	0.0	S	Vibrio cincinnatiensis
Illumina_CDC_676	1.0	0.0	S	Vibrio fluvialis
Illumina_CDC_428712	1.0	0.0	S	Jonquetella anthropi
Illumina_CDC_2480810	7.0	0.0	S	Pseudoxanthomonas winnipegensis
Illumina_CDC_2738	2.0	0.0	S	Vagococcus fluvialis
Illumina_CDC_703	6.0	0.0	S	Plesiomonas shigelloides
Illumina_CDC_400065	1.0	0.0	S	Streptococcus merionis
Illumina_CDC_160453	1.0	0.0	S	Enterococcus gilvus
Illumina_CDC_225992	26.0	0.0	S	Comamonas kerstersii
Illumina_CDC_82633	13.0	0.0	S	Cupriavidus pauculus
Illumina_CDC_714	2.0	0.0	S	Aggregatibacter actinomycetemcomitans
Illumina_CDC_715	3.0	0.0	S	Actinobacillus pleuropneumoniae
Illumina_CDC_29388	2.0	0.0	S	Staphylococcus capitis
Illumina_CDC_70346	3.0	0.0	S	Acinetobacter variabilis
Illumina_CDC_718	1.0	0.0	S	Actinobacillus equuli
Illumina_CDC_720	2.0	0.0	S	Actinobacillus lignieresii
Illumina_CDC_29394	1.0	0.0	S	Dolosigranulum pigrum
Illumina_CDC_727	2.0	0.0	S	Haemophilus influenzae
Illumina_CDC_730	1.0	0.0	S	[Haemophilus] ducreyi
Illumina_CDC_731	13.0	0.0	S	Histophilus somni
Illumina_CDC_732	1.0	0.0	S	Aggregatibacter aphrophilus
Illumina_CDC_738	136.0	0.0	S	Glaesserella parasuis
Illumina_CDC_747	1.0	0.0	S	Pasteurella multocida
Illumina_CDC_29430	16.0	0.0	S	Acinetobacter haemolyticus
Illumina_CDC_43767	8.0	0.0	S	Prescottella equi
Illumina_CDC_43771	4.0	0.0	S	Corynebacterium urealyticum
Illumina_CDC_105219	349.0	0.01	S	Ralstonia mannitolilytica
Illumina_CDC_47880	83.0	0.0	S	Pseudomonas fulva
Illumina_CDC_47885	17.0	0.0	S	Pseudomonas oryzihabitans
Illumina_CDC_47886	1.0	0.0	S	Pseudomonas luteola
Illumina_CDC_39695	12.0	0.0	S	Mycolicibacterium tokaiense
Illumina_CDC_39694	17.0	0.0	S	Mycolicibacterium poriferae
Illumina_CDC_13076	1.0	0.0	S	Globicatella sanguinis
Illumina_CDC_29461	1.0	0.0	S	Brucella suis
Illumina_CDC_480035	3.0	0.0	S	Nocardia wallacei
Illumina_CDC_29484	3.0	0.0	S	Yersinia frederiksenii
Illumina_CDC_47917	2.0	0.0	S	Serratia fonticola
Illumina_CDC_29486	3.0	0.0	S	Yersinia ruckeri
Illumina_CDC_818	11.0	0.0	S	Bacteroides thetaiotaomicron
Illumina_CDC_823	5.0	0.0	S	Parabacteroides distasonis
Illumina_CDC_824	1.0	0.0	S	Campylobacter gracilis
Illumina_CDC_1585976	6.0	0.0	S	Bergeyella cardium
Illumina_CDC_291644	3.0	0.0	S	Bacteroides salyersiae
Illumina_CDC_291645	1.0	0.0	S	Bacteroides nordii
Illumina_CDC_590652	4.0	0.0	S	Mycobacterium paraseoulense
Illumina_CDC_254785	1.0	0.0	S	Streptococcus halichoeri
Illumina_CDC_837	1.0	0.0	S	Porphyromonas gingivalis
Illumina_CDC_851	33.0	0.0	S	Fusobacterium nucleatum
Illumina_CDC_1545044	11.0	0.0	S	Paracoccus sanguinis
Illumina_CDC_859	3.0	0.0	S	Fusobacterium necrophorum
Illumina_CDC_860	34.0	0.0	S	Fusobacterium periodonticum
Illumina_CDC_870	1.0	0.0	S	Dichelobacter nodosus
Illumina_CDC_37734	1.0	0.0	S	Enterococcus casseliflavus
Illumina_CDC_876	18.0	0.0	S	Desulfovibrio desulfuricans
Illumina_CDC_72557	104.0	0.0	S	Achromobacter ruhlandii
Illumina_CDC_35703	15.0	0.0	S	Citrobacter amalonaticus
Illumina_CDC_1241978	12.0	0.0	S	Chryseobacterium bernardetii
Illumina_CDC_1463165	77.0	0.0	S	Klebsiella quasipneumoniae
Illumina_CDC_1241982	7.0	0.0	S	Chryseobacterium nakagawai
Illumina_CDC_465797	1.0	0.0	S	Acinetobacter septicus
Illumina_CDC_2587529	1.0	0.0	S	Klebsiella pasteurii
Illumina_CDC_134034	2.0	0.0	S	Corynebacterium freneyi
Illumina_CDC_357276	2.0	0.0	S	Phocaeicola dorei
Illumina_CDC_109472	1.0	0.0	S	Bisgaardia hudsonensis
Illumina_CDC_152480	17.0	0.0	S	Burkholderia ambifaria
Illumina_CDC_603050	35.0	0.0	S	Malaciobacter mytili
Illumina_CDC_152500	7.0	0.0	S	Burkholderia dolosa
Illumina_CDC_267212	1.0	0.0	S	Neisseria bacilliformis
Illumina_CDC_76759	10.0	0.0	S	Pseudomonas monteilii
Illumina_CDC_76761	56.0	0.0	S	Pseudomonas veronii
Illumina_CDC_80866	25.0	0.0	S	Delftia acidovorans
Illumina_CDC_35814	2.0	0.0	S	Bordetella holmesii
Illumina_CDC_44008	3.0	0.0	S	Enterococcus cecorum
Illumina_CDC_44010	6.0	0.0	S	Mycobacterium conspicuum
Illumina_CDC_656366	5.0	0.0	S	Arthrobacter alpinus
Illumina_CDC_197614	3.0	0.0	S	Streptococcus pasteurianus
Illumina_CDC_1756149	60.0	0.0	S	Elizabethkingia bruuniana
Illumina_CDC_123899	15.0	0.0	S	Bordetella trematum
Illumina_CDC_488446	10.0	0.0	S	Burkholderia latens
Illumina_CDC_488447	16.0	0.0	S	Burkholderia contaminans
Illumina_CDC_54291	37.0	0.0	S	Raoultella ornithinolytica
